COMID,CAT_NDAMS2013,CAT_NID_STORAGE2013,CAT_NORM_STORAGE2013,CAT_MAJOR2013,ACC_NDAMS2013,ACC_NID_STORAGE2013,ACC_NORM_STORAGE2013,ACC_MAJOR2013,TOT_NDAMS2013,TOT_NID_STORAGE2013,TOT_NORM_STORAGE2013,TOT_MAJOR2013,siteno,station_nm,dec_lat_va,dec_long_v,min_date,max_date,GagesII,FEATUREDET,Active,DASqKm,DASqMi,STATE
1159703,1,50,32,0,100,7064401.31,3098283.2,8,100,7064401.31,3098283.2,8,8039500,Angelina Rv nr Ebenezer,31.015197,-94.152137,1928/10/01 00:00:00,1950/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08039500,0,9028.74,3486,TX
1166409,0,0,0,0,42,9234,4508,0,42,9234,4508,0,8041500,Village Ck nr Kountze,30.397986,-94.263521,1939/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08041500,1,2227.4,860,TX
1260129,2,87.2,36.6,0,7,635.2,293.6,0,7,635.2,293.6,0,8057100,White Rk Ck at Keller Spgs Rd,32.970401,-96.805557,1961/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08057100,0,76.146,29.4,TX
1260353,0,0,0,0,7,635.2,293.6,0,7,635.2,293.6,0,8057200,White Rk Ck at Greenville Ave,32.889292,-96.756666,1984/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08057200,1,171.976,66.4,TX
1260357,2,144,96,0,2,144,96,0,2,144,96,0,8056500,Turtle Ck at Dallas,32.807351,-96.802501,1951/10/01 00:00:00,1980/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08056500,1,20.6682,7.98,TX
1260363,4,643,162,0,4,643,162,0,4,643,162,0,8057445,Prairie Ck at US Hwy 175,32.704853,-96.669995,1984/10/01 00:00:00,2011/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08057445,0,23.3877,9.03,TX
1260375,2,875,575,0,683,8196787.56,2697702.19,97,683,8196787.56,2697702.19,97,8057410,Trinity Rv bl Dallas,32.707631,-96.735832,1957/10/01 00:00:00,1999/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08057410,1,16260.02,6278,TX
1260389,0,0,0,0,2,112.6,19,0,2,112.6,19,0,8057450,Tenmile Ck at SH 342,32.578469,-96.756108,1969/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08057450,0,136.752,52.8,TX
1260403,0,0,0,0,7,635.2,293.6,0,7,635.2,293.6,0,8057300,White Rk Ck at White Rk Lk,32.808739,-96.725832,1962/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08057300,0,259,100,TX
1262531,0,0,0,0,968,10018963.82,3677190.19,110,968,10018963.82,3677190.19,110,8062500,Trinity Rv nr Rosser,32.42653,-96.463042,1939/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08062500,1,21100.73,8147,TX
1262643,0,0,0,0,1002,10054363.82,3680699.19,110,1002,10054363.82,3680699.19,110,8062700,Trinity Rv at Trinidad,32.147653,-96.102471,1964/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08062700,1,22113.42,8538,TX
1268192,2,200,82.5,0,3,237,100.5,0,3,237,100.5,0,8049550,Big Bear Ck nr Grapevine,32.913459,-97.129178,1967/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08049550,0,76.664,29.6,TX
1268410,2,5057,730,0,202,2419820.93,754657.12,27,202,2419820.93,754657.12,27,8048000,W Fk Trinity Rv at Ft Worth,32.760963,-97.332517,1920/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08048000,1,6772.85,2615,TX
1268426,0,0,0,0,209,2441435.33,758554.81,29,209,2441435.33,758554.81,29,8048543,W Fk Trinity Rv at Beach St Ft Worth,32.751797,-97.28946,1976/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08048543,1,6954.15,2685,TX
1268514,1,14,14,0,3,14249,84.4,0,3,14249,84.4,0,8047050,Marys Ck at Benbrook,32.695132,-97.447242,1998/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08047050,1,139.86,54,TX
